language,domain,scenario,left,right,total,p_left,p_value,ci_low,ci_high
English,computer science,1,8485,1515,10000,0.8485,0.0,0.8413,0.8554
English,computer science,2,9260,740,10000,0.926,0.0,0.9207,0.931
English,computer science,3,9882,118,10000,0.9882,0.0,0.9859,0.9901
English,computer science,4,7934,2066,10000,0.7934,0.0,0.7854,0.8012
English,computer science,5,9124,876,10000,0.9124,0.0,0.9067,0.9178
English,computer science,6,9238,762,10000,0.9238,0.0,0.9184,0.9288
English,economics,1,7975,2025,10000,0.7975,0.0,0.7895,0.8053
English,economics,2,8434,1566,10000,0.8434,0.0,0.8361,0.8504
English,economics,3,9924,76,10000,0.9924,0.0,0.9905,0.9939
English,economics,4,7346,2654,10000,0.7346,0.0,0.7259,0.7432
English,economics,5,8327,1673,10000,0.8327,0.0,0.8253,0.8399
English,economics,6,8376,1624,10000,0.8376,0.0,0.8302,0.8447
English,engineering,1,8503,1497,10000,0.8503,0.0,0.8432,0.8572
English,engineering,2,9486,514,10000,0.9486,0.0,0.9441,0.9528
English,engineering,3,9906,94,10000,0.9906,0.0,0.9885,0.9923
English,engineering,4,8329,1671,10000,0.8329,0.0,0.8255,0.8401
English,engineering,5,8601,1399,10000,0.8601,0.0,0.8532,0.8668
English,engineering,6,8818,1182,10000,0.8818,0.0,0.8753,0.888
English,environmental science,1,8688,1312,10000,0.8688,0.0,0.862,0.8753
English,environmental science,2,8329,1671,10000,0.8329,0.0,0.8255,0.8401
English,environmental science,3,9860,140,10000,0.986,0.0,0.9835,0.9881
English,environmental science,4,7525,2475,10000,0.7525,0.0,0.7439,0.7609
English,environmental science,5,7919,2081,10000,0.7919,0.0,0.7838,0.7997
English,environmental science,6,8496,1504,10000,0.8496,0.0,0.8425,0.8565
English,finance,1,7557,2443,10000,0.7557,0.0,0.7472,0.764
English,finance,2,9545,455,10000,0.9545,0.0,0.9502,0.9584
English,finance,3,9921,79,10000,0.9921,0.0,0.9902,0.9937
English,finance,4,8633,1367,10000,0.8633,0.0,0.8564,0.8699
English,finance,5,9207,793,10000,0.9207,0.0,0.9152,0.9258
English,finance,6,8544,1456,10000,0.8544,0.0,0.8474,0.8612
English,history,1,9131,869,10000,0.9131,0.0,0.9074,0.9185
English,history,2,7810,2190,10000,0.781,0.0,0.7728,0.789
English,history,3,9865,135,10000,0.9865,0.0,0.984,0.9886
English,history,4,7613,2387,10000,0.7613,0.0,0.7528,0.7696
English,history,5,8886,1114,10000,0.8886,0.0,0.8823,0.8946
English,history,6,9361,639,10000,0.9361,0.0,0.9311,0.9407
English,law,1,8505,1495,10000,0.8505,0.0,0.8434,0.8574
English,law,2,6721,3279,10000,0.6721,0.0,0.6628,0.6812
English,law,3,9819,181,10000,0.9819,0.0,0.9791,0.9843
English,law,4,6471,3529,10000,0.6471,0.0,0.6377,0.6564
English,law,5,8416,1584,10000,0.8416,0.0,0.8343,0.8486
English,law,6,9011,989,10000,0.9011,0.0,0.8951,0.9068
